"Week","Visits","Unique_Visits","Revenue","Profit","Lbs_Sold","Period"
"May 25 - May 31",1.632,1.509,480.728,118.684,16.585,"Initial"
"Jun 1 - Jun 7",1.58,1.45,641.155,269.605,18.906,"Initial"
"Jun 8 - Jun 14",1.441,1.306,890.077,275.218,28.053,"Initial"
"Jun 15 - Jun 21",1.452,1.301,552.674,204.153,19.382,"Initial"
"Jun 22 - Jun 28",1.339,1.255,750.777,256.091,24.274,"Initial"
"Jun 29 - Jul 5",892,841,553.055,178.135,15.309,"Initial"
"Jul 6 - Jul 12",797,731,274.568,62.58,8.633,"Initial"
"Jul 13 - Jul 19",744,706,619.285,248.458,17.216,"Initial"
"Jul 20 - Jul 26",1.044,976,674.485,238.498,17.309,"Initial"
"Jul 27 - Aug 2",906,850,762.559,230.238,24.571,"Initial"
"Aug 3 - Aug 9",849,791,479.084,156.66,14.39,"Initial"
"Aug 10 - Aug 16",737,685,528.271,186.776,17.231,"Initial"
"Aug 17 - Aug 23",734,668,540.676,164.499,13.802,"Initial"
"Aug 24 - Aug 30",626,594,768.109,213.673,26.653,"Initial"
"Aug 31 - Sep 6",577,537,403.82,135.191,12.403,"Initial"
"Sep 7 - Sep 13",562,508,388.745,148.951,11.695,"Initial"
"Sep 14 - Sep 20",563,495,622.367,153.422,26.362,"Initial"
"Sep 21 - Sep 27",652,585,456.012,158.316,15.772,"Initial"
"Sep 28 - Oct 4",611,549,951.216,273.175,31.969,"Initial"
"Oct 5 - Oct 11",561,500,534.542,167.637,15.531,"Initial"
"Oct 12 - Oct 18",558,525,537.652,134.115,19.734,"Pre-Promotion"
"Oct 19 - Oct 25",570,520,623.71,228.045,17.193,"Pre-Promotion"
"Oct 26 - Nov 1",551,511,764.839,202.703,22.591,"Pre-Promotion"
"Nov 2 - Nov 8",537,507,315.647,119.86,8.992,"Pre-Promotion"
"Nov 9 - Nov 15",543,500,610.985,170.026,19.104,"Pre-Promotion"
"Nov 16 - Nov 22",558,511,563.525,189.705,21.455,"Pre-Promotion"
"Nov 23 - Nov 29",536,510,555.497,123.129,18.784,"Pre-Promotion"
"Nov 30 - Dec 6",549,498,432.657,121.4,14.298,"Pre-Promotion"
"Dec 7 - Dec 13",545,499,488.986,152.476,17.215,"Pre-Promotion"
"Dec 14 - Dec 20",591,535,689.428,215.421,27.257,"Pre-Promotion"
"Dec 21 - Dec 27",383,366,343.105,100.388,11.292,"Pre-Promotion"
"Dec 28 - Jan 3",402,385,605.155,119.903,20.148,"Pre-Promotion"
"Jan 4 - Jan 10",547,495,407.277,134.854,16.454,"Pre-Promotion"
"Jan 11 - Jan 17",631,583,405.484,129.974,12.703,"Pre-Promotion"
"Jan 18 - Jan 24",795,734,519.934,179.884,26.303,"Pre-Promotion"
"Jan 25 - Jan 31",1,930,614.455,113.249,22.199,"Promotion"
"Feb 1 - Feb 7",1.207,1.136,516.27,193.465,16.535,"Promotion"
"Feb 8 - Feb 14",2.317,2.229,297.813,89.803,7.814,"Promotion"
"Feb 15 - Feb 21",2.013,1.946,692.677,184.368,28.041,"Promotion"
"Feb 22 - Feb 28",2.324,2.228,897.164,266.477,31.496,"Promotion"
"Mar 1 - Mar 7",3.726,3.617,417.727,111.835,10.181,"Promotion"
"Mar 8 - Mar 14",2.563,2.482,326.969,122.687,9.727,"Promotion"
"Mar 15 - Mar 21",3.006,2.896,326.482,114.328,18.323,"Promotion"
"Mar 22 - Mar 28",1.663,1.585,508.027,159.945,17.299,"Promotion"
"Mar 29 - Apr 4",1.779,1.689,413.937,143.254,13.862,"Promotion"
"Apr 5 - Apr 11",1.086,1.03,422.488,81.841,19.007,"Promotion"
"Apr 12 - Apr 18",1.231,1.166,376.751,137.256,23.284,"Promotion"
"Apr 19 - Apr 25",1.248,1.178,410.241,90.175,17.374,"Promotion"
"Apr 26 - May 2",1.674,1.613,549.75,138.599,18.195,"Promotion"
"May 3 - May 9",1.514,1.452,268.16,98.68,9.176,"Promotion"
"May 10 - May 16",1.302,1.246,322.73,84.806,12.881,"Promotion"
"May 17 - May 23",1.191,1.137,397.14,112.04,15.524,"Promotion"
"May 24 - May 30",957,912,370.914,102.976,15.406,"Post-Promotion"
"May 31 - Jun 6",963,909,299.425,89.826,14.536,"Post-Promotion"
"Jun 7 - Jun 13",882,848,297.326,106.085,10.397,"Post-Promotion"
"Jun 14 - Jun 20",942,896,336.762,110.672,11.054,"Post-Promotion"
"Jun 21 - Jun 27",835,789,419.302,100.319,17.855,"Post-Promotion"
"Jun 28 - Jul 4",802,762,191.172,46.906,7.197,"Post-Promotion"
"Jul 5 - Jul 11",806,750,133.967,32.825,3.826,"Post-Promotion"
"Jul 12 - Jul 18",900,828,615.713,166.568,22.821,"Post-Promotion"
"Jul 19 - Jul 25",860,811,360.033,121.356,12.758,"Post-Promotion"
"Jul 26 - Aug 1",924,828,573.918,187.699,22.325,"Post-Promotion"
"Aug 2 - Aug 8",792,737,397.55,124.641,18.566,"Post-Promotion"
"Aug 9 - Aug 15",781,718,282.045,75.557,12.294,"Post-Promotion"
"Aug 16 - Aug 22",776,714,310.116,82.771,11.293,"Post-Promotion"
"Aug 23 - Aug 29",772,709,615.95,206.441,23.762,"Post-Promotion"
